i,
u,oyu
ss,sss
you,oyu
and,
no,
report,reprot|rpeort|repport|repot|repor|rep|reported
me,him|her
to,
go,come
is,isnt|s
so,soo
lol,
mid,
top,bot|bottom
a,
we,they
gg,bg
noob,nab|nooob|moron|nob
for,
the,
this,that
dont,dotn|dnt|didnt|don|doesnt|wont
bot,top|bottom
d,
gj,
it,
xd,xdd
why,
are,arent|re|were
just,jsut
all,
not,
my,
omg,omfg
can,cant|cna|cannot
that,taht|this
he,she
have,ahve|had
team,tema
in,into
2,
with,whit|without
pls,plz|please|pliz|plx|plis|pleas
game,gam|games
ok,okay
nice,ncie
1,
play,paly
do,
t,
re,are|arent|were
on,
ty,thx|thanks|thnx|tnx
was,wasnt
blue,blu
now,
need,needed
come,go|came
they,we
wtf,
im,iam|am|m
3,
what,waht|something|nothing
bad,dumb|sad
but,because
get,take
gank,gang|gnak|ganks
s,is
of,
stop,
got,took
yes,
if,
ur,your
fuck,fck|fk|fuk|fuckk|fack
help,
kill,kil|killed
ward,wards
ashe,graves|ez
cant,cannot|wont|can
like,liek
win,
afk,
feed,flame|feeding|fed
its,
y,
your,ur
up,uo|upo
0,
at,
fucking,fuckin|fcking|fking|fuking|fkin|fuckign
will,ll|ill|wil
b,
too,
care,
push,
time,tiem
him,them|me
more,
good,strong
or,
plz,pls|please|pliz|plx|plis|pleas|plzz
sry,sorry|srry
guys,
then,than
4,
lee,
k,
see,
die,died
know,
lane,line|lanes
stfu,
np,
thx,ty|thanks|tnx|thnx
op,broken
baron,nashor|nash|dragon|drag
ulti,ult|ulty|ultimate|taunt|stun|shield|ignite
focus,fokus|focusing
how,
be,
farm,
when,everytime|before|while|because
please,plz|pls|pliz|plx|pleas
jax,
ult,ulti|ulty|stun|taunt|exhaust
p,
ww,
5,15
noobs,trolls|morons
take,steal|get|took
only,
back,
fail,failed
red,
wp,
say,said
want,wanted|wanna
idiot,tard
did,didnt
o,
easy,
pro,
let,
shit,
graves,vayne|ashe|varus|sivir
dat,
them,him|em|her
vayne,graves
don,didn|wouldn|dont|doesn
one,
jungle,jungler
sure,
yeah,yea|ye
look,
sorry,sry|srry
retard,tard|retarded
really,rly|realy
haha,hahaha|hahah|hahahaha|hahahah|ahah
wards,ward|oracles
didnt,didint|dont|couldnt|wouldnt|dint|did
fed,feeded|farmed|feed
wait,waited
troll,trol|trolling
teemo,
who,
as,
ks,
m,am|im|iam
dmg,damage|damages
first,
suck,sux|sucked|sucks
shut,shup
she,he
lost,loose|lose|lsot|losing|loosing
lose,loose|lost|lsoe
there,here|ther
again,
carry,
said,say
shaco,
well,
hard,badly
wow,
vs,against
dude,
yi,trynda|fiora|akali|xin|veigar|kayle
man,
soraka,taric|sona|alistar
omfg,omg
pull,pul
riven,irelia|ryze
olaf,vlad|irelia|talon
varus,graves|sivir|veigar
ad,ap
from,
still,
think,
brb,
oh,ohh|ow
flame,flaming|blame|feed|rage|feeding|spam
ali,
flash,exhaust|heal
here,there
lvl,level|lv
better,worse|stronger|easier
surrender,surrend|surender
even,
stupid,retarded|pathetic|brainless|braindead
fight,teamfight
drake,drag|dragon
tower,turret|towers
our,
lux,lulu
darius,irelia|fiora|akali
bg,gg
am,m|im|iam
elo,
ahri,
had,have
support,supp
useless,usless|useles|worthless|usefull|weak
janna,sona|leona|nunu
hp,health
omw,comin|owm|comming|coem|coming
run,ran|runs
6,16
def,deff|defend|safe
kennen,ryze|riven
never,
ez,ashe
us,
buy,bought
much,
solo,alone
stay,stand
gp,
blitz,alistar
her,them|me
rly,really|realy
ap,ad
mana,mp
after,before
ye,yea|yeah
shen,riven|panth|kennen
kills,kils
de,bien|ce
cause,cuz|because|cos|cus|becouse|couse
thats,
free,
fizz,ryze
tank,
heal,exhaust|shield
because,cause|cuz|cos|cus|becouse|couse|but|when
tf,karthus|fizz
kid,child|kiddo|kiddy
vlad,irelia|olaf
jungler,jungle
r,
ryze,fizz|morde|riven
noc,mundo
warded,
irelia,riven|vlad|olaf|ryze|yorick|akali|darius
du,der|zu|und|dich
should,could|shouldnt|would|wouldnt|shall
reported,report
try,tried
fu,
feeding,flaming|afking|feed|feedin|flamming|raging|flame
cait,
q,
e,
morde,ryze
kog,corki
ffs,
brand,annie|lb|vlad
mundo,udyr|noc|amumu
taric,soraka|alistar
udyr,mundo
would,wouldnt|could|should|shouldnt
ofc,
doing,doin|saying
coming,comming|comin|going|omw|goin
low,
going,goin|trying|coming
about,bout
than,then
annie,brand|swain|veigar|anivia|riven
sion,kennen|nida
ganks,gangs|gang|gank
next,nex
dead,alive
stun,taunt|silence|ulti|ult|ulty|ignite|exhaust
start,
last,
could,should|would|wouldnt|shouldnt|couldnt
akali,talon|irelia|veigar|jax
mf,
10,15|30|20|16|40|18
by,
steal,take|stole
lets,ill
fast,
use,used
real,
ich,auch|nicht|noch|gemacht
20,10|40|30|25|50|22
pick,picked|picks
retarded,stupid|braindead|pathetic|terrible
his,
give,gave|giving
always,allways
7,17
times,
amumu,mundo|malph|rammus
corki,kog
some,
hit,hits|attack|shot
were,are|werent|arent|re
late,early
nothing,anything|something|nothin|what
bro,brah
has,
best,
where,
alistar,blitz|jarvan|leona
alone,solo
leave,
w,
cuz,cause|coz|because|cus|becouse|couse
kk,kay|oke|okey|okok
veigar,morgana|annie|ahri
x,
dive,
tu,un|qui|toi|pour
sec,secs|sek|minutes
right,
la,va|pa|deja
luck,
mad,
ll,will|ill|wil
ss2,ss1|sss
cs,creeps|assists
cry,crying
fault,foult
min,mins|minute|minuts
talon,akali|olaf
xin,pantheon
maybe,
l2p,
out,
ill,ll|will|lets
hahaha,hahah|haha|hahahaha|hahahah|hahha|ahahah|ahahaha|ahah
g,
yea,ye|yeah
god,
tard,retard|retarded|idiot|trash
an,
feeder,flamer|troller|failer|leaver
ever,
wont,cant|couldnt|cannot|wouldnt|wanna|dont
end,
died,killed|pinged|die
invade,
anivia,swain|brand|annie|fizz
nunu,lulu|sona|janna
over,
down,
thanks,thx|ty|tnx|thnx
sona,janna|leona|soraka|nunu|alistar
sivir,varus|tristana|graves|trist
make,makes
lag,lagg|laggs|lags
flaming,trolling|feeding|spamming|flame|flamming|raging|afking
gonna,gona
karthus,panth
btw,
damn,dammit
fiora,darius|olaf|voli
kata,trynda|talon|anivia|akali
away,
galio,vlad
hate,
garen,trynda|singed|tryn|gp
n,inte|anan
dragon,drake|drag|baron|nash|nashor
their,
oom,
same,
que,xq
talk,speak|complain|listen
without,with
wanna,want|wana|wont
playing,playin
ya,
finish,finnish
rofl,
c,
le,et|les|ce|comme
ping,
cv,
miss,
tell,explain|teach|call|follow|listen|blame
lucky,unlucky
swain,annie|anivia
won,
told,
oracle,oracles|wota
love,
je,elle|jme|j
f,daf
nasus,
damage,dmg|damages
yep,
life,health
soon,
epic,awesome
w8,
nope,
hes,shes
funny,annoying
voli,fiora|olaf
morgana,veigar|swain|gragas
8,18
hell,
trolling,flaming|insulting|raging|reporting|crying|troll
smite,
learn,
ban,bann|banned
champ,char|champion
saw,
killed,ulted|attacked|dived|died|ultied|baited|helped
9,
build,
before,after|when
loose,lose|lost|lsoe
fuckin,fking|fucking|fcking|fuking|fkn|fkin|fuckign|fckin|fukin
worst,noobest
off,
attack,atack|atk|attak|attacked|hit|chase
ja,
engage,initiate|move
fiddle,
turret,tower|towers
pas,aussi
way,
together,togheter|togehter|regroup
cd,
dumb,blind|bad|braindead
rage,flame|raging
lucker,kser|hacker|looser|failer|cheater
lb,brand
srsly,seriously
trash,tard|retarded
nvm,
must,gotta|might
gold,golds
base,bush
guy,
bitch,cunt|biatch|child
move,engage
leona,sona|janna|alistar|nida
very,pretty
ignite,shield|stun|silence|ulti
getting,gettin|geting
blame,blaming|flame|tell
big,
fun,
player,players
skill,skills|spell
nah,
ah,ahh|yh|ho|aw|hm
panth,malph
l,
twitch,
n1,nc
items,item
cassio,ziggs|gragas|anivia
sucks,sux|sucked|suck
trist,urgot|sivir
idiots,tards|kids|bitches
keep,
already,
mean,
sin,
doesnt,doenst|dosent|dont
en,bien|deja|chier
jarvan,gragas|olaf|panth|riven
kayle,ryze
trynda,garen|tryn|kata|trynd|pantheon
cool,clever
premade,
true,
full,
skarner,udyr
against,vs
anyway,anyways
didn,couldn|wouldn|doesn|don|hadn
fck,fk|fuk|fuckk|fuck|fack|fuuck
30,40|10|20
te,era|sabes|haber|mejor|nosotros
sad,bad|amazing
ta,sa|malaka
si,nos|asi|sabes
nida,nidalee|sion|garen|leona
qq,
minions,minion
early,late
talking,talkin|speaking|complaining|writing
kassa,swain|kass
hope,
ziggs,gragas|cassio
drag,drake|dragon|baron
mother,mom|father|sister|mothers
mom,mother|mum
ignore,ignored
un,une|hein|bien|pour|quoi|tu
es,ese|deg|buena|eres
da,ja|ama|ainda
naut,panth|mundo|amumu
wrong,
other,others
tristana,sivir|varus|caitlyn|urgot|trist|vayne
english,
brain,brains
retards,tards|trolls|feeders
cover,protect
does,
urgot,gragas|trist
wanted,tried|want|decided|tryed
cho,
morg,galio|morde|morgana
shyvana,jarvan
ranked,normal|rankeds|rank
arrow,
went,stayed|walked
yorick,irelia
ganked,ganged|camped|dived|owned|raped|killed
problem,prob
both,
normal,ranked
rammus,amumu|nautilus|jarvan|maokai
j,je
anything,nothing|something
u2,y2
counter,
people,ppl|players
any,
every,evry
gay,braindead|annoying|ugly
eve,
ss1,ss2|sss
close,
done,
being,beeing
singed,garen|nidalee
okay,ok|okey
games,matches|game
bye,bb
gragas,ziggs|jarvan|urgot|swain
bait,
reason,
such,
gang,gank|gnak|ganks
buff,buffs
double,
und,nur|zu
also,aswell
se,mas|ves|porque|pero|nos|asi
save,
safe,defensive|safer|deff|def
nash,nashor|baron|dragon|inhib|baorn
na,za|jak|kai|kurwa
failed,fail|missed
lulu,nunu|lux
fk,fck|fuk|fuck|fack
thought,tought|though
pff,pfff
fcking,fking|fuking|fuckin|fkin|fkn|fucking|fuckign|fukin|fckin|facking
wukong,
nashor,nash|baron|dragon|baorn
someone,some1|anyone|somebody|everyone
malph,panth|amumu
something,sth|anything|nothing|what|things
little,lil|litle
slow,
poppy,
moron,
h,
malz,anivia|fizz|malza|gragas|galio
boots,shoes|dorans
est,
fb,
armor,mr|armour|mres|ms
bit,
great,awesome
runes,masteries|rune
wolves,wolfs|wolfes|wolf|ghosts|golem
ass,self|asses|arse
son,sons|legends|doom|sort
xdd,xddd|xdddd|ddd
since,
et,avec|contre
yo,por|eso|cuando|como|pero|todo|lo
lanes,line|lines|lane
1v1,1on1|1vs1
fking,fcking|fuckin|fuking|fkn|fkin|fuckign|fucking|fckin|fukin|fckn
blind,dumb|annoying
das,
understand,
chat,
hahah,hahahaha|hahaha|hahahah|ahahah|hahha|ahahaha|ahah|ahaha|haha
waste,wast|wasting
guess,
gl,
ppl,people|players
speak,talk
enemy,
map,
own,
oo,
il,elle
kids,bitches|idiots|girls
worth,worht
eu,euw
fine,
surrend,surr|surrender|surender
hi,hello|hey
came,comes|come
mal,lass
ignored,ignore
took,stole|takes|got|take
used,missed|wasted|uses|use|flashed
watch,check
hahahaha,ahahaha|hahah|hahahah|hahha|hahaha|ahahah|hahahahaha|ahah|ahaha
nooob,nob|noooob|nobo|nooooob|noobb
strong,stronk|good
follow,folow
4v5,4vs5|3v5|5v5|3vs5|5v4
range,
isnt,is|aint|wasnt
el,
renek,rumble|riven|ryze
tryn,garen|trynda|trynd
call,tell
suicide,overextend
throw,threw
says,
level,lvl|lv|lvls|levels
bush,brush|bushes|base
played,
seriously,srsly
pushing,failing|pushed|camping|ganking|fighting|dieing
chance,
ma,ena|dan
hf,
banned,ban|bann
fucked,fcked|fked|fuked|fuckd|ruined
skin,skins|lifesteal
shyv,
botlane,toplane
idea,choice
ve,ive|havent
defend,def|deff|destroy
dc,
joke,
12,13|11|14|16|17|18|10|15
15,25|10|18|17|16
item,items
new,
whole,hole
serious,srs
creeps,cs|exp|creep|xp
seen,
lo,como|cuando|ahora|eso
inc,cming|heading|comin
protect,cover
wasnt,was|aint|isnt
enough,
mao,maokai
cass,cassio|anivia|gragas
while,when
check,watch
v,v5|v1|2vs|4vs|3vs|1vs
der,alter|dieser
